video_id,total_comments,avg_likes_per_comment,total_likes,max_likes_per_comment,avg_comment_length,median_comment_length,avg_word_count,median_word_count,comments_with_mentions,comments_with_hashtags,comments_with_urls,total_replies,reply_comments_count
ZsT4DZDMqWI,4,0.0,0,0,26.75,21.0,5.75,4.5,0,0,0,0,0
ZsXUHdAN97o,30,24.07,722,354,69.97,25.5,12.73,5.0,1,0,1,12,12
ZuarurfP4BA,30,3.83,115,48,121.33,99.0,22.83,18.0,0,0,0,3,3
Zz59q8wHECk,30,76.97,2309,945,326.07,81.5,57.13,15.5,3,0,1,32,20
_5nw6gLRe34,30,28.77,863,217,117.53,108.0,22.6,19.5,6,0,1,34,19
_9gYVZuOkts,30,4.37,131,50,73.4,60.0,14.77,11.0,2,0,0,4,4
_D_C2-2FZ5w,30,40.17,1205,332,144.9,84.5,24.9,12.5,3,0,1,17,16
_I4n6sP4h-M,18,1.33,24,14,45.17,27.5,8.39,5.5,0,0,0,3,3
_K7P-XF1k94,14,2.14,30,22,76.64,52.5,14.5,9.0,1,0,0,3,3
_KuUXz5gjgw,30,26.03,781,414,175.83,83.0,29.7,12.0,2,0,1,12,12
_NJWXVSs65c,30,82.0,2460,646,124.9,89.5,22.63,16.0,3,0,1,18,18
_jSbuDftmcc,30,83.7,2511,735,64.9,49.0,11.67,9.0,2,0,1,24,20
_kml-YupBag,22,2.77,61,18,132.0,85.0,24.14,15.0,0,0,1,2,2
_nCrGZjquzk,12,1.42,17,6,40.17,29.0,8.58,6.0,0,0,0,0,0
_sothj2aipE,30,76.4,2292,940,131.83,120.0,23.53,19.5,5,0,1,40,22
