video_id,like_count_mean,like_count_sum,like_count_std,comment_length_mean,comment_length_std,word_count_mean,word_count_std,total_reply_count_sum
I-dlPuqFguo,123.6,3708,263.46,119.27,105.47,20.4,16.61,61
I2rvAysA-_8,1.47,28,2.63,51.68,67.56,8.16,8.93,8
I3MeCEwVxB0,128.33,3850,360.47,50.47,78.28,8.83,13.11,50
I5hTDOckpnU,90.53,2716,188.46,79.73,91.82,14.17,16.45,30
I6JAceIv8ro,1.27,28,2.0,52.09,43.57,10.36,8.58,9
I9m00NGPwgg,96.0,2880,238.71,197.97,288.22,35.13,50.39,29
IFSMQJCda10,70.23,2107,135.49,123.2,122.1,21.83,21.89,64
IFggxxz3gcs,1.93,27,2.02,100.5,59.6,19.0,11.37,8
IJwuAm3fEWg,6.31,164,17.37,69.35,53.72,13.46,9.74,4
IK4B7XUqXWY,52.8,1584,126.07,71.3,61.85,13.07,11.24,40
IPA-08lYNss,1.6,48,2.87,139.27,116.74,26.33,22.48,3
IScN1SOcj7A,310.4,9312,729.12,149.93,138.72,27.47,25.42,104
ISjkHuJYTPw,40.2,1206,67.54,76.2,62.1,14.23,11.35,3
IVCCqNpORj0,1.5,6,2.38,83.75,73.86,16.5,13.72,0
IWYUDZsU_Ew,2.31,30,3.09,47.77,77.8,8.62,14.35,10
IXSqorYMXQA,4.9,147,14.29,73.73,78.23,14.07,15.13,7
I_a7ozUeMx8,47.53,1426,139.17,83.93,71.48,15.1,12.11,20
IgT24YYn4DU,20.5,615,37.4,112.37,91.5,20.0,15.91,16
IhfxUm3cmuM,22.83,685,55.93,129.23,129.86,23.37,23.11,7
Ijlw8B7xg9Y,4.43,133,11.4,82.37,89.37,14.87,15.81,15
IoA0q9fUpYI,12.5,375,27.78,173.93,154.09,31.6,28.0,2
IyPsEF511Vw,3.47,104,6.82,91.5,88.23,16.73,15.52,5
J4RBNp6wFWA,17.0,510,49.07,185.6,169.38,33.9,29.4,15
JFD-X0g307A,14.56,364,39.56,43.56,22.54,7.84,3.68,49
JHKiDe8E4hY,181.73,5452,449.26,113.97,116.56,20.27,21.5,46
JHjREDj7Tag,65.87,1976,106.13,61.73,38.62,11.53,7.62,11
